Calculate likelyhood with base = edge	method = const
Test	FailsAt	Rank
1	(107,)	13	961
2	(-1, 107, 108, 109, 110)	>945	945
3	(494,)	211	958
4	(494,)	2	962
5	(118,)	1	962
6	(315, 319)	18	960
7	(176,)	13	962
8	(176,)	30	959
9	(115,)	42	952
10	(115,)	55	956
11	(116,)	35	961
12	(-1, 14, 15)	>962	962
13	(502, 503)	1	969
14	(370,)	2	954
15	(241,)	233	963
16	(176,)	13	965
17	(75,)	2	962
18	(372,)	2	957
19	(44,)	182	961
20	(75,)	1	962
21	(14, 44, 55, 209)	229	957
22	(140, 144)	70	958
23	(74,)	17	961
24	(362,)	1	956
25	(362,)	2	962
26	(370,)	1	961
27	(182,)	33	959
28	(176,)	13	965
29	(176,)	13	965
30	(176,)	13	965
31	(370,)	3	962
