Calculate likelyhood with base = node	method = freq
Test	FailsAt	Rank
1	(107,)	12	961
2	(-1, 107, 108, 109, 110)	>945	945
3	(494,)	202	958
4	(494,)	7	962
5	(118,)	1	962
6	(315, 319)	13	960
7	(176,)	8	962
8	(176,)	17	959
9	(115,)	52	952
10	(115,)	64	956
11	(116,)	39	961
12	(-1, 14, 15)	>962	962
13	(502, 503)	1	969
14	(370,)	3	954
15	(241,)	197	963
16	(176,)	8	965
17	(75,)	1	962
18	(372,)	3	957
19	(44,)	188	961
20	(75,)	1	962
21	(14, 44, 55, 209)	176	957
22	(140, 144)	127	958
23	(74,)	10	961
24	(362,)	1	956
25	(362,)	3	962
26	(370,)	1	961
27	(182,)	19	959
28	(176,)	8	965
29	(176,)	8	965
30	(176,)	8	965
31	(370,)	3	962
