Calculate likelyhood with base = edge	method = const
Test	FailsAt	Rank
1	(75,)	14	204
2	(63,)	4	204
3	(120,)	75	204
4	(79,)	1	204
5	(118,)	53	201
6	(104,)	8	204
7	(51,)	73	204
8	(53,)	175	204
9	(89,)	46	204
10	(105, 111)	5	204
11	(106, 113, 136, 139)	5	198
12	(118,)	59	205
13	(10,)	>204	204
14	(11,)	>204	204
15	(12, 118)	53	201
16	(50,)	182	204
17	(51,)	90	204
18	(52,)	129	204
19	(53,)	62	204
20	(72,)	59	204
21	(72,)	64	205
22	(72,)	49	204
23	(90,)	55	205
24	(90,)	56	204
25	(97,)	3	204
26	(118,)	56	201
27	(118,)	53	201
28	(63,)	4	206
29	(63,)	26	202
30	(63,)	30	203
31	(76, 81, 128)	10	215
32	(94, 99, 129)	6	215
33	(50, 51, 52, 53)	73	204
34	(124,)	1	204
35	(63,)	15	204
36	(46,)	>204	204
37	(58,)	1	203
38	(27,)	>204	204
39	(97,)	3	204
40	(75, 126)	74	198
41	(79,)	9	202
