Calculate likelyhood with base = edge	method = freq
Test	FailsAt	Rank
1	(75,)	14
2	(63,)	4
3	(120,)	75
4	(79,)	1
5	(118,)	53
6	(104,)	8
7	(51,)	73
8	(53,)	175
9	(89,)	46
10	(105, 111)	5
11	(106, 113, 136, 139)	5
12	(118,)	59
13	(10,)	>271
14	(11,)	>271
15	(12, 118)	53
16	(50,)	182
17	(51,)	90
18	(52,)	129
19	(53,)	62
20	(72,)	59
21	(72,)	64
22	(72,)	49
23	(90,)	55
24	(90,)	56
25	(97,)	3
26	(118,)	56
27	(118,)	53
28	(63,)	4
29	(63,)	26
30	(63,)	30
31	(76, 81, 128)	10
32	(94, 99, 129)	6
33	(50, 51, 52, 53)	73
34	(124,)	1
35	(63,)	15
36	(46,)	>271
37	(58,)	1
38	(27,)	>271
39	(97,)	3
40	(75, 126)	60
41	(79,)	9
