Calculate likelyhood with base = node	method = freq
Test	FailsAt	Rank
1	(75,)	5	204
2	(63,)	2	204
3	(120,)	67	204
4	(79,)	1	204
5	(118,)	44	201
6	(104,)	32	204
7	(51,)	106	204
8	(53,)	129	204
9	(89,)	54	204
10	(105, 111)	27	204
11	(106, 113, 136, 139)	27	198
12	(118,)	66	205
13	(10,)	>204	204
14	(11,)	>204	204
15	(12, 118)	44	201
16	(50,)	89	204
17	(51,)	106	204
18	(52,)	62	204
19	(53,)	113	204
20	(72,)	59	204
21	(72,)	35	205
22	(72,)	32	204
23	(90,)	61	205
24	(90,)	36	204
25	(97,)	7	204
26	(118,)	47	201
27	(118,)	44	201
28	(63,)	1	206
29	(63,)	37	202
30	(63,)	35	203
31	(76, 81, 128)	5	215
32	(94, 99, 129)	3	215
33	(50, 51, 52, 53)	65	204
34	(124,)	40	204
35	(63,)	1	204
36	(46,)	>204	204
37	(58,)	1	203
38	(27,)	>204	204
39	(97,)	7	204
40	(75, 126)	44	198
41	(79,)	5	202
